Player, %AST, %OREB, %DREB, %STL, %BLK, FREQ_6, Diff%_6, FREQ_15, Diff%_15, Freq_Handoff_Off, eFG%_Handoff_Off, Freq_Iso_Def, eFG%_Iso_Def, Freq_Iso_Off, eFG%_Iso_Off, Freq_OffScreen_Off, eFG%_OffScreen_Off, Freq_P&R_Handler_Off, eFG%_P&R_Handler_Off, Freq_P&R_Man_Off, eFG%_P&R_Man_Off, Freq_Postup_Off, eFG%_Postup_Off, Freq_Putbacks_Off, eFG%_Putbacks_Off, Freq_Spotup_Off, eFG%_Spotup_Off, Freq_Tight, eFG%_Tight, Freq_Open, eFG%_Open, FGA_Catch_And_Shoot, EFG%_Catch_And_Shoot, FGA_Pull_Up, EFG%_Pull_Up, DRIVES_Drives, FG%_Drives
Norman Powell, 42, 15, 13, 48, 44, 12, 3, 95, 92, 5, 18, 11, 94, 26, 26, 9, 7, 30, 7, 22, 21, 19, 27, 21, 9, 4, 7, 70, 42, 53, 73, 77, 95, 79, 82, 82, 52
OG Anunoby, 51, 55, 41, 59, 45, 20, 50, 91, 34, 72, 67, 79, 56, 90, 50, 64, 79, 54, 50, 55, 59, 89, 73, 68, 62, 62, 71, 28, 33, 78, 34, 93, 81, 80, 29, 80, 11
Obi Toppin, 38, 70, 69, 5, 75, 23, 81, 96, 97, 10, 23, 69, 68, 26, 26, 9, 12, 30, 21, 77, 60, 80, 93, 72, 60, 80, 34, 61, 89, 22, 86, 46, 30, 18, 8, 34, 64
Omer Yurtseven, 35, 93, 99, 29, 83, 78, 87, 29, 86, 10, 22, 29, 44, 27, 27, 8, 25, 31, 5, 95, 71, 91, 68, 92, 42, 15, 14, 92, 60, 18, 39, 12, 6, 15, 14, 4, 65
Onyeka Okongwu, 24, 98, 75, 53, 99, 72, 85, 13, 96, 9, 24, 75, 78, 27, 27, 7, 37, 32, 21, 91, 99, 80, 95, 93, 81, 3, 6, 100, 94, 7, 99, 5, 40, 9, 96, 7, 97
Oshae Brissett, 15, 74, 74, 44, 51, 96, 23, 17, 60, 53, 51, 81, 22, 27, 27, 59, 95, 47, 38, 72, 57, 20, 19, 77, 41, 89, 40, 73, 21, 42, 23, 68, 50, 34, 17, 53, 16
Otto Porter Jr., 37, 75, 83, 79, 63, 97, 54, 7, 65, 58, 53, 95, 38, 28, 28, 92, 72, 39, 47, 74, 70, 20, 19, 78, 78, 75, 77, 20, 70, 63, 42, 68, 52, 44, 93, 21, 13
P.J. Tucker, 44, 69, 60, 52, 35, 5, 48, 99, 91, 8, 21, 83, 66, 28, 28, 26, 43, 32, 21, 74, 68, 70, 95, 74, 56, 86, 85, 22, 49, 24, 85, 58, 80, 24, 63, 24, 78
P.J. Washington, 44, 65, 63, 47, 81, 77, 55, 27, 73, 42, 54, 86, 25, 28, 28, 25, 42, 33, 30, 83, 79, 74, 84, 73, 60, 80, 66, 36, 63, 46, 74, 80, 60, 31, 64, 46, 79
Pascal Siakam, 83, 61, 81, 45, 55, 80, 79, 41, 47, 48, 93, 62, 83, 99, 74, 31, 42, 64, 67, 62, 89, 85, 86, 64, 42, 29, 48, 81, 54, 51, 34, 66, 62, 86, 45, 96, 74
